Modül,Özellik,Durum,Branch,Ana dosyalar,Bağımlılıklar,Bilinen sorunlar,Not
Su,"Su modeli (birleşik kaplar, seviye)",ÇALIŞIYOR,main,"water_sim.gd, water_rules.gd",kazı,—,SUTEST CI'da
Su,Kova doldur / dök,ÇALIŞIYOR,main,world3d.gd,—,—,—
Su,"Su içme (kenardan, susuzluk)",ÇALIŞIYOR,main,"world3d.gd:3022, thirst.gd",—,—,—
Su,Boru ağı (aşağı/yana akış),ÇALIŞIYOR,main,world3d.gd (pipe graf),—,—,—
Su,Pompa (yukarı taşıma),ÇALIŞIYOR,main,world3d.gd,boru,—,—
Su,Vana (aç/kapa),ÇALIŞIYOR,main,world3d.gd,boru,—,—
Envanter,"16 slot + kilitli slotlar (çanta ile +4, maks 2)",ÇALIŞIYOR,main,"inventory.gd, hud.gd",—,—,—
Envanter,Sırt Çantası UI (mockup: sekme/tutamaç/çift halka),ÇALIŞIYOR,main,"hud.gd, ui_slot.gd, ui_dots/handle.gd",—,—,CLICKTEST ✓
Envanter,"Hotbar (5 slot, dokun-al, atama)",ÇALIŞIYOR,main,"hud.gd, inventory.gd",—,—,—
Envanter,Eşya at / yerden topla (uçan ikon),ÇALIŞIYOR,main,"world3d.gd, ground_item.gd",—,—,—
Envanter,"Sandık (Al/Koy, Tümünü, sök)",ÇALIŞIYOR,main,"hud.gd, world3d.gd (_chests)",—,overlay bugı 01:19 APK'da düzeltildi,iki-sütun UI
Envanter,Flavor metinleri (55 eşya),ÇALIŞIYOR,main,items.gd (FLAVOR),—,"tohum metni ""ekilir"" diyor ama 3D'de ekim YOK",çelişki listesinde
Craft,"Tarif kataloğu (Türkçe id'li, canlı)",ÇALIŞIYOR,main,recipes.gd,—,"recipe_db.gd İKİNCİ katalog, hiçbir kod kullanmıyor",çelişki listesinde
Craft,Üretim paneli (raf + 3 durumlu kartlar + detay),ÇALIŞIYOR,main,"hud.gd, ui_info_strip.gd","araştırma, istasyon",—,"mockup birebir, CLICKTEST ✓"
Craft,Üretim kuyruğu + ilerleme çubuğu,ÇALIŞIYOR,main,"crafting.gd, hud.gd",—,—,—
Craft,İstasyon kapıları (tezgah/ocak yakınlığı),ÇALIŞIYOR,main,crafting.gd (near_station/hearth),yapı,—,detay şeridi 3 seste gösterir
Craft,Hotbara uçan üretim ikonu,ÇALIŞIYOR,main,hud.gd (_fly_to_hotbar),—,—,—
Araştırma,"Araştırma ağacı UI (dallar, düğümler)",ÇALIŞIYOR,main,"ui_research.gd, research.gd",—,—,—
Araştırma,Düğüm satın alma (malzeme maliyeti),ÇALIŞIYOR,main,research.gd,envanter,—,masa yanında
Araştırma,Tarif kilidi (is_recipe_unlocked),ÇALIŞIYOR,main,"research.gd, crafting.gd",—,—,üretim kartında kilit görünür
Araştırma,Gizli düğümler (???),ÇALIŞIYOR,main,ui_research.gd,—,—,kil ile tetiklenir
Araştırma,Öz ile gizli araştırma harcaması,SADECE-PLAN,—,—,yaratık özü,öz düşüyor ama HARCANDIĞI yer yok,kanca boş
Alet/Silah,3 fazlı sallama (windup/strike/recover),ÇALIŞIYOR,main,"player3d.gd, tool_profiles.gd",—,—,—
Alet/Silah,Alet bonusları (balta/kazma/kürek/bıçak/çekiç),ÇALIŞIYOR,main,"gather_rules.gd, world3d.gd",—,—,—
Alet/Silah,Silahlar: sopa 12 / kılıç 18+kombo / mızrak 30,ÇALIŞIYOR,main,"tool_profiles.gd, world3d.gd",—,hedef olarak yalnız kukla var (yaratık AI yok),—
Alet/Silah,"Menzilli: yay+ok, sapan+çakıl (basılı tut)",ÇALIŞIYOR,main,world3d.gd,—,—,—
Alet/Silah,"Kukla (eğitim hedefi, take_hit arayüzü)",ÇALIŞIYOR,main,hittable_dummy.gd,—,—,yaratıklarla aynı arayüz
Alet/Silah,Zırh %40 / şapka %15 hasar azaltma,ÇALIŞIYOR,main,health.gd:15-18,envanter,—,—
Alet/Silah,Meshy GLB aletler elde (balta/kazma/kürek),ÇALIŞIYOR,main,player3d.gd (TOOL_HOLD/grip_pt),karakter,—,veri-tabanlı kavrama
Alet/Silah,Alet bağlama ofsetleri veri + çoğalma fix,BRANCH'TE,alet-gorsel-fix,tool_profiles.gd (ATTACH),—,TOOL_HOLD ile MUHTEMELEN BAYAT (22 Tem tabanlı),merge etme; kapatılabilir
Yapı/Base,Yerleştirme modu (hayalet + döndür + onay),ÇALIŞIYOR,main,"world3d.gd, build_preview.gd",—,—,—
Yapı/Base,Duvar/kapı/zemin/yatak/meşale/tuzak,ÇALIŞIYOR,main,world3d.gd (PLACE_MODELS),—,tuzağın yaratık hedefi yok,—
Yapı/Base,Yapı canı + çekiçle sökme (malzeme iade),ÇALIŞIYOR,main,world3d.gd (_structure_take_hit),—,—,—
Yapı/Base,Tezgah (kullanıcı GLB'si),ÇALIŞIYOR,main,world3d.gd,craft,—,h=0.6 oranlandı
Yapı/Base,Araştırma masası,ÇALIŞIYOR,main,world3d.gd,araştırma,—,—
Yapı/Base,Kamp evi (yeniden doğuş noktası),ÇALIŞIYOR,main,world3d.gd,—,—,—
Yapı/Base,Ocak (öncelikli ışık + pişirme kapısı),ÇALIŞIYOR,main,world3d.gd (get_hearth),—,"""Ocak hedefi"" oyun amacı DEĞİL (plan)",HEARTHTEST CI'da
Yapı/Base,Savunma platformu,ÇALIŞIYOR,main,world3d.gd,—,—,—
Yapı/Base,"Kapı aç/kapa (oyuncu geçer, yaratık geçemez)",ÇALIŞIYOR,main,world3d.gd,—,"""yaratık geçemez"" test edilemez (AI yok)",—
Yapı/Base,Çatı parçaları + görünürlük fade,BRANCH'TE,ev-cati,world3d.gd (branch),—,ESKİ tabana dayalı (buggy HUD dönemi) — merge öncesi REBASE ŞART,5 gerçek commit
Yapı/Base,"İç mekan tespiti (flood-fill, is_indoor)",BRANCH'TE,ev-cati,world3d.gd (branch),çatı,aynı rebase şartı,—
Yapı/Base,"Ev hissi (rozet, yatak bonusu, kayıt)",BRANCH'TE,ev-cati,world3d.gd (branch),iç mekan,aynı rebase şartı,—
Tarım,Tarla açma (çapa),ÇALIŞIYOR,main,"farming.gd, world3d.gd (_try_till)",araştırma (farming_basics),—,tarif: 2 çubuk+2 taş+1 ip
Tarım,Tohum ekme,ÇALIŞIYOR,main,"farming.gd, world3d.gd (_try_plant)",tarla,—,flavor çelişkisi kapandı
Tarım,Sulama (kap 4 kullanım + bitişik su otomatiği),ÇALIŞIYOR,main,"farming.gd, world3d.gd (_on_farm_dawn)",su sistemi,—,11.7 kancası BAĞLANDI
Tarım,Büyüme tick + hasat (saçılan ürün),ÇALIŞIYOR,main,"farming.gd (day_tick), world3d.gd",gün döngüsü,ışık kuralı boş (planlı),FARMTEST CI'da
Tarım,Kompost/korkuluk/sulama borusu,SADECE-PLAN,—,item_db.gd'de yalnız isim,—,—,—
Can-Açlık,Can + yenilenme + açlıkla erime,ÇALIŞIYOR,main,"health.gd, player_stats.gd",—,—,—
Can-Açlık,Açlık + yeme (meyve/mantar/pişmiş et),ÇALIŞIYOR,main,"hunger.gd, survival_balance.gd",—,—,doyma değerleri UI ile tutarlı
Can-Açlık,Susuzluk + su içme,ÇALIŞIYOR,main,"thirst.gd, world3d.gd",—,—,—
Can-Açlık,Çiğ et bulantısı (%20),ÇALIŞIYOR,main,player_stats.gd,—,çiğ et DÜŞÜREN hayvan yok (yaratık fazı),ancak debug ile denenir
Can-Açlık,Et pişirme (ocakta),ÇALIŞIYOR,main,recipes.gd (station: ocak),ocak,—,—
Can-Açlık,Ölüm + yeniden doğuş (+kararma),ÇALIŞIYOR,main,"player_stats.gd, hud.gd",kamp evi,—,—
Kayıt,Dünya+envanter+araştırma+gün kaydı/yükleme,ÇALIŞIYOR,main,"save_manager.gd, world3d.gd",—,ev-cati'nin çatı kaydı branch'te,—
Kayıt,Devam Et / Yeni Oyun (2 adımlı onay),ÇALIŞIYOR,main,"hud.gd, save_manager.gd",—,—,—
Kayıt,"""Kaydedildi"" göstergesi",ÇALIŞIYOR,main,hud.gd (_on_saved),—,—,—
Gündüz-Gece,Gün döngüsü + fazlar + gün sayacı pill,ÇALIŞIYOR,main,"daynight.gd, hud.gd",—,—,—
Gündüz-Gece,"Gece görseli (vinyet, ışıklar)",ÇALIŞIYOR,main,"hud.gd, world3d.gd",—,—,—
Gündüz-Gece,"Uyku (yatakta sabaha atla, +30 can)",ÇALIŞIYOR,main,"world3d.gd, hud.gd",yatak,—,—
Gündüz-Gece,"""Geliyorlar..."" gece uyarısı",ÇALIŞIYOR,main,hud.gd,—,uyarı var ama GELEN YOK (dalga plan),yanıltıcı olabilir
Gündüz-Gece,night_started → yaratık dalga tetiği,YARIM,main,daynight.gd:14 (sinyal),yaratık AI,3D'de KANCA BOŞ (yalnız 2D legacy bağlı),"daynight yorumunda ""PLANLI"" yazıyor"
Yaratık,"Yaratık varlığı (can, take_hit, geri tepme)",ÇALIŞIYOR,main,creature.gd,—,yalnız DEBUG spawn (K tuşu / test),Aşama 1
Yaratık,Öz düşürme,ÇALIŞIYOR,main,creature.gd,—,özün harcama yeri yok,—
Yaratık,AI çekirdeği (A* yol bulma + kır/dolaş kararı),BRANCH'TE,yaratik-ai,"creature_ai.gd, world3d.gd (creature_break_cost)",gece dalgası,—,kırılabilir engel kapalı değil PAHALI; AITEST hızlı CI'da
Yaratık,Gece dalga sistemi (tek grup + tip karışımı),BRANCH'TE,yaratik-ai,"world3d.gd (_spawn_night_wave), creature_balance.gd (wave_mix)",gün döngüsü,gruplu dalga (WAVE_*) hâlâ kullanılmıyor,NIGHTTEST CI'da; karışım kuralları YARATIKLAR.md
Yaratık,Yaratık tipleri (5 tip: normal/tırmanıcı/yüzücü/kırıcı/hızlı),BRANCH'TE,yaratik-ai,"creature_balance.gd (TYPES), YARATIKLAR.md, YARATIKLAR.csv","AI, dalga",modelleri yok (aşağıdaki satır),climb/swim hem yol bulmada hem harekette; YARATIKTIP hızlı CI'da
Yaratık,Yaratık GLB modelleri (5 tip),SADECE-PLAN,—,assets/models/creatures/ (BOŞ),yaratık tipleri,5 dosyanın hiçbiri yok; prosedürel gövde çiziliyor,"yol tabloda tanımlı, dosya gelince kendiliğinden devreye girer"
Yaratık,Tuzak/kazık yaratık tetiklenmesi,YARIM,main,world3d.gd,yaratık AI,"yapılar yerleşiyor, hedefleri yok",Aşama 5
Yaratık,Alev hendeği,SADECE-PLAN,—,"creature_balance.gd:70 (FLAME_DPS), item_db kaydı",—,"veri var, kod yok",—
Yaratık,Ocak hedefi (HER ZAMAN ocak; oyuncu yalnız temasta),ÇALIŞIYOR,main,world3d.gd (_tick_one_creature),dalga,sabah ekonomisi/is_banked HÂLÂ YOK,"oyuncu kovalama kaldırıldı: gecenin derdi ""Ocağı koru"""
Yaratık,Çiğ et düşüren hayvan,SADECE-PLAN,—,—,—,—,yiyecek zinciri kapısı
UI,"HUD (barlar, dock, ana/saldırı butonu, bağlam)",ÇALIŞIYOR,main,hud.gd,—,—,—
UI,Ayarlar (kalite/FPS/Yeni Oyun/Kapat),ÇALIŞIYOR,main,hud.gd,—,Kapat taşması 01:19 APK'da düzeltildi,CLICKTEST ✓
UI,Kamera ayar paneli (layer 4),ÇALIŞIYOR,main,world3d.gd (_build_camera_ui),—,—,—
UI,Başlangıç menüsü (Devam Et/Yeni Oyun),ÇALIŞIYOR,main,world3d.gd/hud.gd,kayıt,—,—
UI,"Gerçek-dokunuş testleri (CLICKTEST, CI)",ÇALIŞIYOR,main,world3d.gd (_run_click_tests),screenshot.yml,sandık/yerleştirme henüz kapsam dışı,4 panel kapsanıyor
UI,Gün sonu / ölüm özeti,SADECE-PLAN,—,—,—,—,UX raporu P2
UI,"Sol-el modu, ses/titreşim ayarı",SADECE-PLAN,—,—,—,—,UX raporu P2
Karakter,Meshy karakter + animasyonlar (koşu/vuruş),ÇALIŞIYOR,main,player3d.gd,—,Armature 0.01 kod ölçeğiyle çözülür (RAPOR_KARAKTER),—
Karakter,Özel renk karakteri (Yuvarlak Mavi),ÇALIŞIYOR,main,custom_character.gd,—,—,seçenek listesinde
Karakter,Şapka/yüz/saç aksesuarları,ÇALIŞIYOR,main,player3d.gd (set_hat/face/hair),—,—,—
Karakter,Stil vitrini (CI karşılaştırma sahnesi),ÇALIŞIYOR,main,style_showcase.gd,—,—,"üretim değil, araç"
Performans,Kalite kademeleri (Düşük/Orta/Yüksek),ÇALIŞIYOR,main,"perf_balance.gd, world3d.gd",—,—,Ayarlar'dan
Performans,FPS göstergesi,ÇALIŞIYOR,main,hud.gd/world3d.gd,—,—,—
Performans,Ölçüm altyapısı (probe + baseline),BRANCH'TE,performans,perf probe (branch),—,Aşama 1 kapanış commitleri açıkta,"ölçüm aracı, oyun kodu değil"
Performans,Hedefli optimizasyon (Aşama 2),YARIM,main,—,ölçüm,görev listesinde in-progress,—
Ses,SFX çalar (vuruş/kırılma sesleri),SADECE-PLAN,—,tool_profiles.gd'de sfx ADLARI veri olarak hazır,—,AudioStreamPlayer kodu HİÇ YOK,veri kancası hazır
Ses,Müzik,SADECE-PLAN,—,—,—,—,—
Hikâye/Keşif,KEŞİF çıkışı / harita hedefi,SADECE-PLAN,—,—,—,repo DOKÜMANLARINDA DA YOK (yalnız sohbet tasarımı),yazılacak doküman gerek
Hikâye/Keşif,Ocak Nefesi,SADECE-PLAN,—,—,—,repo dokümanlarında yok,—
Hikâye/Keşif,Eşik Gecesi,SADECE-PLAN,—,—,—,repo dokümanlarında yok,—
Hikâye/Keşif,Hikâye teslimi / senaryo tetikleri,SADECE-PLAN,—,—,—,kodda hiçbir hikâye tetiği yok,—
Araçlar,"Test modu (sınırsız envanter + tüm eşyalar + kilitsiz araştırma)",ÇALIŞIYOR,main,test_mode.gd,—,KAPATMAK: TestMode.ENABLED=false,web'de de aktif
Araçlar,"Grip Ayar Modu (aleti oyun içinde hizala)",ÇALIŞIYOR,main,"hud.gd, player3d.gd",—,yalnız debug build (web'de yok),user://grip_overrides.json
Legacy,"2D oyun (world.gd, World.tscn)",ÇALIŞIYOR,main,"world.gd, player.gd",—,"3D ile İKİ AYRI OYUN; tarım+gece dalgası artık 3D'de de var",web kökünde yayında
